[1853.1, 2987.92],1,1.0
[2000.04, 2559.26],1,1.0
[3580.5, 1345.83],1,1.0
[5256.76, 1175.89],2,2.0
[1371.22, 1343.22],0,0.0
[1404.84, 3023.04],1,1.0
[822.67, 976.35],0,0.0
[2013.21, 2667.95],1,1.0
[156.99, 499.22],0,0.0
[3218.19, 2805.31],1,1.0
[2863.08, 1095.51],0,0.0
[1674.9, 2279.51],0,0.0
[13342.85, 10077.23],3,3.0
[1436.74, 3884.84],1,1.0
[3975.66, 1913.06],1,1.0
[3618.0, 3726.26],1,1.0
[3784.73, 2010.15],1,1.0
[3652.56, 1306.32],1,1.0
[3761.24, 3435.0],1,1.0
[2245.53, 1813.01],0,1.0
[2079.26, 1486.3],0,0.0
[1729.51, 2314.82],0,0.0
[882.01, 742.54],0,0.0
[3252.03, 3852.16],1,1.0
[2670.92, 2154.64],1,1.0
[7553.93, 3602.46],2,2.0
[1416.09, 2628.99],0,0.0
[832.41, 911.14],0,0.0
[2478.4, 3488.09],1,1.0
[3784.13, 1720.32],1,1.0
[3314.51, 3476.49],1,1.0
[1442.18, 1113.43],0,0.0
[1964.62, 3767.04],1,1.0
[1909.18, 3082.17],1,1.0
[2483.99, 3563.45],1,1.0
[2173.81, 1671.96],0,0.0
[2390.26, 3570.32],1,1.0
[5452.99, 1907.73],2,2.0
[3765.15, 3451.53],1,1.0
[3531.8, 2783.71],1,1.0
[1639.03, 2705.2],1,0.0
[2031.19, 2761.54],1,1.0
[1324.39, 1945.93],0,0.0
[3279.79, 2992.02],1,1.0
[2168.48, 2598.13],1,1.0
[1129.92, 3851.77],1,1.0
[3013.34, 2639.69],1,1.0
[3115.63, 2283.9],1,1.0
[2191.73, 2275.35],1,1.0
[3525.15, 2767.57],1,1.0
[3923.13, 2295.05],1,1.0
[2322.85, 1255.13],0,0.0
[2427.68, 3200.26],1,1.0
[7601.22, 2192.81],2,2.0
[3892.26, 1711.97],1,1.0
[1036.08, 3148.86],0,0.0
[3432.96, 2860.56],1,1.0
[964.67, 985.82],0,0.0
[3692.39, 2662.18],1,1.0
